x-axis,1,2
second,Volt,Volt
+1.19000E-03,,
+1.19100E-03,-26.38191E-03,-24.12060E-03
+1.19200E-03,-32.66332E-03,-32.16080E-03
+1.19300E-03,-6.28141E-03,-24.12060E-03
+1.19400E-03,+0.0E+00,-17.08543E-03
+1.19500E-03,-20.10050E-03,-13.06533E-03
+1.19600E-03,-20.10050E-03,-32.16080E-03
+1.19700E-03,+6.28141E-03,-32.16080E-03
+1.19800E-03,-16.33166E-03,-40.20100E-03
+1.19900E-03,-12.56281E-03,-42.71357E-03
+1.20000E-03,+0.0E+00,-48.24121E-03
+1.20100E-03,+12.56281E-03,-32.16080E-03
+1.20200E-03,+0.0E+00,-40.20100E-03
+1.20300E-03,+0.0E+00,-45.22613E-03
+1.20400E-03,-16.33166E-03,-48.24121E-03
+1.20500E-03,-12.56281E-03,-53.26633E-03
+1.20600E-03,+20.10050E-03,-61.30653E-03
+1.20700E-03,+26.38191E-03,-53.26633E-03
+1.20800E-03,+16.33166E-03,-56.28141E-03
+1.20900E-03,+0.0E+00,-45.22613E-03
+1.21000E-03,+16.33166E-03,-40.20100E-03
+1.21100E-03,+20.10050E-03,-61.30653E-03
+1.21200E-03,+22.61307E-03,-40.20100E-03
+1.21300E-03,+6.28141E-03,-45.22613E-03
+1.21400E-03,+20.10050E-03,-40.20100E-03
+1.21500E-03,+20.10050E-03,-53.26633E-03
+1.21600E-03,+20.10050E-03,-54.77387E-03
+1.21700E-03,+12.56281E-03,-66.83417E-03
+1.21800E-03,+16.33166E-03,-48.24121E-03
+1.21900E-03,+6.28141E-03,-56.28141E-03
+1.22000E-03,+52.76382E-03,-49.24623E-03
+1.22100E-03,+12.56281E-03,-48.24121E-03
+1.22200E-03,+0.0E+00,-56.28141E-03
+1.22300E-03,+12.56281E-03,-61.30653E-03
+1.22400E-03,+36.43216E-03,-56.28141E-03
+1.22500E-03,+12.56281E-03,-40.20100E-03
+1.22600E-03,+16.33166E-03,-48.24121E-03
+1.22700E-03,+6.28141E-03,-45.22613E-03
+1.22800E-03,+20.10050E-03,-54.77387E-03
+1.22900E-03,+12.56281E-03,-50.75377E-03
+1.23000E-03,+20.10050E-03,-48.24121E-03
+1.23100E-03,+0.0E+00,-56.28141E-03
+1.23200E-03,-20.10050E-03,-56.28141E-03
+1.23300E-03,+0.0E+00,-48.24121E-03
+1.23400E-03,+20.10050E-03,-40.20100E-03
+1.23500E-03,+20.10050E-03,-32.16080E-03
+1.23600E-03,+20.10050E-03,-25.12563E-03
+1.23700E-03,+0.0E+00,-24.12060E-03
