# R_1 = 1*10**3 Ohm, R_2 = 100*10**3 Ohm
# f in Hz,           U_A in V,           Phi in °
100                 1.73                  1
200                 1.73                  1
500                 1.73                  3
1000                1.73                  4
2000                1.69                  8
5000                1.65                  16
10000               1.49                  29
15000               1.37                  38
20000               1.13                  48
50000               0.64                  63
100000              0.37                  70
200000              0.23                  62
500000              0.15                  40
1000000             0.13                  0
